no_correlativo,tractor1,tractor2,tractor3,tractor4,faja1,faja2,escalera,remolcador_aeronave,agua_potable,drenadora,gpu,barra,acu,asu,loader_main_deck,loader_lower_deck,extintor_robot,unidad_fod,montacargas1,montacargas2,montacargas3,montacargas4,carreta1,carreta2,carreta3,carreta4,carreta5,dollies_cantidad
2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5317,AT-227,AT-21,AT-15,AT-56,AT-235,,,AT-250,,,,AT-254,,,AT-224,AT-293,,,AT-177,AT-61,,,,,,,,20
5332,AT-15,AT-6,AT-94,,AT-318,,,AT-250,,,,,,,AT-224,,,,AT-61,AT-1,,,,,,,,18
5333,AT-15,AT-6,AT-329,,AT-235,,,AT-250,,,,,,,AT-287,,,,AT-177,AT-61,,,,,,,,16
5365,AT-3,,,,AT-318,,,,,,AT-306,,,,AT-224,,,,AT-61,AT-1,,,,,,,,3
5366,,,,,,,,AT-250,,,,,,,AT-224,,,1,AT-61,AT-177,,,,,,,,
5367,AT-3,,,,AT-317,,,,,,AT-306,,,,AT-224,AT-293,,,AT-1,AT-177,,,,,,,,
5368,,,,,,,,AT-288,,,AT-325,AT-254,,,AT-224,AT-293,,,AT-1,AT-177,,,,,,,,
5371,AT-257,AT-15,AT-3,,,,,,,,AT-172,,,,AT-224,,,,,,,,,,,,,15
5373,AT-46,AT-257,AT-21,,AT-317,AT-318,,AT-250,,,,,,,AT-224,,44,,,,,,,,,,,19
5376,AT-15,,,,,,,,,,AT-326,,,,AT-287,,,,AT-1,AT-61,,,,,,,,2
5377,AT-257,,,,AT-236,AT-317,,,,,AT-306,,,,AT-287,,,,AT-61,AT-177,,,,,,,,3
5384,AT-43,,,,AT-317,,,AT-250,,,AT-306,,,,AT-224,,,,AT-1,AT-61,,,,,,,,
5449,AT-15,AT-6,,,,,,AT-250,,,AT-306,,,,AT-224,,,,,,,,,,,,,2
5450,AT-15,AT-3,AT-257,,AT-318,,,AT-250,,,,,,,AT-224,,,,,,,,,,,,,17
5451,AT-15,AT-3,AT-257,,AT-318,,,AT-250,,,,AT-254,,,AT-224,,,,,,,,,,,,,
5454,AT-329,,,,,,,AT-250,,,AT-306,,,,AT-224,,,,,,,,,,,,,5
5455,AT-15,,,,,,,AT-288,,,AT-172,,,,AT-224,,,,,,,,,,,,,6
5457,AT-94,AT-15,,,AT-318,,,AT-250,,,AT-306,,,,AT-224,,,,,,,,,,,,,13
5458,AT-3,AT-15,,,,,,AT-250,,,,,,,AT-224,,,,,,,,,,,,,8
5459,AT-15,AT-3,,,,,,AT-288,,,,,,,AT-224,,,,,,,,,,,,,7
5460,AT-15,AT-256,,,,,,AT-250,,,AT-326,,,,AT-287,,,,,,,,,,,,,7
5461,AT-15,AT-94,,,AT-318,,,AT-250,,,AT-306,,,,AT-224,,,,,,,,,,,,,8
5463,AT-15,AT-3,,,,,,AT-85,,,AT-172,,,,AT-224,,,,,,,,,,,,,15
5464,AT-257,AT-94,,,AT-318,,,AT-250,,,AT-326,,,,AT-224,,,,,,,,,,,,,8
5468,AT-16,AT-256,,,,,,AT-250,,,AT-326,,,,AT-224,,,,,,,,,,,,,10
5518,AT-257,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,1
5528,AT-15,AT-6,AT-43,,AT-318,,AT-297,AT-250,,,,AT-99,,,AT-287,,3,6,AT-1,AT-61,,,,,,,,25
5529,AT-15,AT-329,,AT-3,AT-214,,AT-189,AT-250,,,,AT-10,,,AT-293,,46,1,,,,,,,,,,12
5531,AT-15,AT-3,,,AT-318,,,AT-250,,,,AT-99,,,AT-287,,3,50,AT-61,,,,,,,,,26
5549,AT-15,AT-21,AT-46,,AT-318,,AT-297,AT-250,,,,AT-99,,,AT-224,,3,50,AT-177,AT-61,,,,,,,,30
5552,AT-15,AT-3,,,AT-235,,AT-297,AT-250,,,,AT-99,,,AT-287,,3,50,AT-1,AT-61,,,,,,,,18
5617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5620,AT-329,AT-56,,,,,,AT-250,,,,,,,AT-293,,50,1,AT-61,,,,,,,,,7
5623,AT-329,AT-15,,,,,,AT-230,,,,,,,AT-293,,50,1,AT-61,,,,,,,,,7
5625,AT-15,AT-56,,,,,,AT-250,,,,,,,AT-251,,50,1,AT-1,,,,,,,,,7
5626,AT-43,AT-329,,,,,,AT-212,,,,,,,AT-251,,45,1,,,,,,,,,,7
5627,AT-15,AT-329,,,,,,AT-230,,,,,,,AT-293,,3,50,,,,,,,,,,14
5629,AT-94,AT-15,,,,,,AT-212,,,,,,,AT-185,,3,50,AT-61,,,,,,,,,7
5630,AT-92,AT-43,,,,,,AT-212,,,,,,,AT-293,,3,50,AT-61,,,,,,,,,10
5631,AT-15,AT-257,,,,,,AT-230,,,,,,,AT-293,,3,50,,,,,,,,,,7
5632,AT-257,AT-56,,,,,,AT-212,,,,,,,AT-185,,3,50,,,,,,,,,,10
5635,AT-329,AT-15,,,,,,AT-212,,,,,,,AT-185,,46,1,,,,,,,,,,7
5636,AT-329,AT-3,,,,,,AT-212,,,,,,,AT-293,,3,50,,,AT-61,,,,,,,7
5639,AT-21,,,,AT-236,,,,,,,,,,,,,,,,,,,,,,,
5640,AT-3,,,,AT-317,,,,,,,,,,,,,,AT-61,,,,,,,,,
5642,AT-257,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,
5643,AT-21,,,,AT-236,,,,,,,,,,,,,,,,,,,,,,,
5644,AT-21,,,,AT-235,,,,,,,,,,,,,,,,,,,,,,,
5651,AT-256,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,1
5652,AT-15,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,
5653,AT-21,,,,AT-236,,,,,,,,,,,,,,,,,,,,,,,
5655,AT-329,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,1
5658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5659,AT-15,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,1
5660,AT-257,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,
5661,AT-94,,,,AT-259,,,,,,,,,,,,,,,,,,,,,,,
5662,AT-43,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,
5663,AT-15,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,
5664,AT-257,,,,AT-236,,,,,,,,,,,,,,,,,,,,,,,1
5665,AT-43,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,1
5666,AT-15,AT-329,,,,,,AT-230,,,,,,,AT-88,,43,1,,,,,,,,,,7
5667,AT-329,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,1
5669,AT-256,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,1
5675,AT-3,AT-15,AT-329,,,,AT-189,AT-288,,,,AT-13,,,AT-287,AT-293,3,50,,,,,,,,,,29
5677,AT-329,AT-3,,,,,,AT-288,,,AT-86,,,,AT-224,AT-293,3,50,AT-1,AT-61,AT-177,,,,,,,27
5687,AT-15,AT-329,AT-21,,AT-236,,AT-297,AT-250,,,,,,,AT-224,AT-293,50,1,AT-1,AT-61,AT-246,,,,,,,10
5767,AT-257,AT-3,AT-43,,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-293,50,6,AT-1,AT-61,AT-245,,,,,,,15
5768,AT-15,AT-3,AT-21,,,,,AT-288,,,,AT-254,,,AT-287,AT-293,3,50,AT-177,AT-61,,,,,,,,
5773,AT-94,AT-3,AT-56,,AT-215,,AT-297,AT-288,,,,,,,AT-224,AT-293,50,1,AT-177,AT-61,,,,,,,,12
7795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7801,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9180,AT-15,AT-257,AT-21,,,,AT-297,AT-250,,,AT-306,AT-254,,,AT-224,AT-293,1,1,AT-61,AT-1,AT-245,,,,,,,10
9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9769,AT-257,AT-94,,,AT-318,,AT-297,AT-250,,,AT-306,AT-9,,,AT-224,AT-293,3,1,AT-61,AT-1,,,,,,,,15
9772,AT-43,AT-257,AT-94,,AT-318,,AT-297,AT-250,,,,AT-254,,,AT-287,AT-293,3,1,AT-61,AT-1,,,,,,,,25
9783,AT-46,AT-43,,,,,,AT-212,,,,,,,AT-293,,46,1,AT-61,,,,,,,,,7
9788,AT-257,AT-56,AT-21,AT-43,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-293,50,3,AT-61,AT-177,AT-245,,,,,,,22
9867,AT-15,AT-21,AT-3,,,,AT-297,AT-250,,,AT-306,AT-254,,,AT-224,AT-293,50,2,AT-1,AT-61,AT-245,,,,,,,18
9878,AT-256,AT-3,,,AT-318,,AT-297,AT-250,,,AT-306,AT-9,,,AT-287,AT-293,43,1,AT-61,AT-1,,,,,,,,16
9896,AT-257,AT-94,AT-3,,AT-235,,AT-297,AT-288,,,AT-172,AT-254,,,AT-287,AT-293,50,3,AT-177,AT-61,AT-245,,,,,,,9
9905,AT-257,AT-94,AT-3,,AT-235,,AT-297,AT-250,,,,AT-99,,,AT-224,,50,6,AT-61,AT-177,AT-245,,,,,,,16
9909,AT-3,,,,AT-317,,AT-297,AT-288,,,,AT-9,,,AT-224,,50,1,AT-61,AT-177,,,,,,,,1
9911,AT-3,AT-15,,,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-293,43,1,AT-61,AT-1,AT-246,,,,,,,16
9914,AT-15,AT-256,AT-329,,AT-317,,,AT-250,,,,,,,AT-224,,,,AT-61,AT-1,AT-1,,,,,,,17
9921,AT-257,AT-15,AT-257,,AT-317,,AT-297,AT-250,,,AT-306,AT-99,,,AT-251,,40,,,,,,,,,,,
9929,AT-256,AT-15,,,,,,AT-250,,,AT-326,,,,AT-287,,,,,,,,,,,,,15
9932,AT-329,AT-15,,,,,,AT-212,,,,,,,AT-251,,46,1,AT-61,,,,,,,,,6
9933,AT-15,AT-329,,,,,,AT-230,,,,,,,AT-88,,42,1,,,,,,,,,,7
9934,AT-329,AT-43,,,,,,AT-212,,,,,,,AT-251,,50,2,,,,,,,,,,7
9936,AT-15,AT-3,,,,,,AT-230,,,,,,,AT-251,,41,1,AT-61,,,,,,,,,4
9938,AT-329,AT-15,,,,,,AT-212,,,,,,,AT-251,,41,1,AT-1,,,,,,,,,
9939,AT-15,AT-21,,,,,AT-297,AT-212,,,,,,,AT-293,,41,1,AT-1,,,,,,,,,6
9941,AT-15,AT-3,,,,,,AT-250,,,,,,,AT-251,,41,1,AT-1,,,,,,,,,7
9942,AT-257,AT-15,,,,,,AT-230,,,,,,,AT-293,,41,1,AT-61,,,,,,,,,7
9943,AT-3,AT-21,,,,,,AT-230,,,,,,,AT-293,,41,1,,AT-61,,,,,,,,7
9944,AT-46,AT-15,,,,,,AT-230,,,,,,,AT-251,,41,1,AT-61,,,,,,,,,4
9946,AT-15,AT-43,,,,,,AT-230,,,,,,,,,43,1,,,,,,,,,,5
9948,AT-329,AT-257,,,,,,AT-230,,,,,,,AT-293,,3,50,AT-1,,,,,,,,,6
9949,AT-15,AT-46,,,,,,AT-230,,,,,,,AT-293,,45,1,,,,,,,,,,7
9950,AT-15,AT-94,,,,,,AT-212,,,,,,,AT-251,,41,1,AT-61,,,,,,,,,6
9951,AT-329,AT-3,,,,,,AT-212,,,,,,,AT-88,,41,1,AT-61,,,,,,,,,8
9952,AT-15,AT-6,AT-3,,,,,AT-230,,,,,,,AT-293,,41,1,AT-61,,,,,,,,,4
9953,AT-15,AT-329,,,,,,AT-212,,,,,,,AT-251,,46,1,AT-61,,,,,,,,,7
9993,AT-21,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,1
9995,AT-329,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,AT-257,,,,AT-317,,,,,,,,,,,,,,,,,,,,,,,1
10002,AT-257,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10004,AT-257,,,,AT-318,,,,,,,,,,,,,,,,,,,,,,,1
10012,AT-15,AT-3,AT-3,AT-56,AT-317,,,AT-250,AT-115,,,AT-254,,,AT-224,AT-251,,,AT-1,AT-61,,,,,,,,25
10013,AT-227,AT-94,AT-43,,AT-318,,,AT-250,,,,AT-254,,,AT-224,AT-251,,,AT-61,AT-1,,,,,,,,22
10014,AT-257,AT-329,AT-15,AT-256,,,,AT-250,,,,,,,AT-287,AT-251,,,AT-61,AT-1,AT-1,,,,,,,30
10025,AT-15,AT-256,AT-257,AT-329,,,,AT-250,,,,AT-254,,,AT-224,,,,AT-177,AT-61,,,,,,,,25
10032,AT-15,AT-257,AT-329,,AT-236,AT-318,,AT-250,,,,,,,AT-251,,,,AT-61,AT-1,,,,,,,,
10069,AT-3,AT-43,AT-56,,AT-236,AT-318,,AT-250,,,AT-326,,,,AT-251,,,,,,,,,,,,,18
10072,AT-257,AT-256,,,,,,,,,,,,,AT-224,,,,,,,,,,,,,15
10075,AT-43,AT-257,AT-94,,AT-317,,,AT-250,,,AT-325,,,,AT-287,,50,,,,,,,,,,,18
10076,AT-21,AT-329,,,AT-317,,,,,,,,,,AT-251,,,,AT-1,AT-61,,,,,,,,
10077,AT-15,,,,AT-318,,,,,,AT-172,,,,AT-224,,,,AT-177,AT-1,,,,,,,,
10078,,,,,AT-317,,,,,,AT-172,,,,AT-224,,,,AT-61,AT-1,,,,,,,,
10079,AT-43,AT-15,,,AT-318,,,AT-250,,,AT-325,,,,AT-251,,,,,,,,,,,,,18
10080,AT-329,,,,,,,AT-288,,,AT-325,AT-254,,,AT-224,AT-293,,,AT-177,AT-61,,,,,,,,
10082,AT-43,AT-46,AT-329,,AT-318,,,AT-288,,,AT-306,,,,AT-224,,46,,,,,,,,,,,18
10083,AT-257,AT-3,,,AT-318,AT-236,,,,,AT-325,,,,AT-224,,,,AT-61,AT-1,,,,,,,,5
10084,AT-15,,,,AT-318,,,,,,AT-326,,,,,,,,AT-61,,AT-177,,,,,,,3
10101,AT-43,AT-257,AT-21,,AT-317,,,AT-250,,,AT-326,,,,AT-287,,50,,,,,,,,,,,18
10107,AT-46,AT-3,AT-329,,AT-236,AT-317,,AT-250,,,AT-325,,,,AT-251,,,,,,,,,,,,,
10111,AT-56,AT-15,,,AT-318,,,,,,AT-172,,,,AT-251,,,,AT-1,AT-61,,,,,,,,8
10156,AT-256,AT-43,,,,,,AT-288,,,AT-325,,,,AT-224,,,,,,,,,,,,,8
10158,AT-329,AT-15,,,AT-318,,,AT-250,,,AT-172,,,,AT-224,,,,,,,,,,,,,7
10160,AT-257,AT-329,,,AT-318,,,AT-250,,,AT-325,,,,AT-224,,,,,,,,,,,,,8
10161,AT-15,AT-329,,,AT-318,,,AT-85,,,AT-325,,,,AT-251,,,,,,,,,,,,,13
10162,AT-21,AT-15,,,AT-318,,,AT-250,,,AT-172,,,,AT-251,,,,,,,,,,,,,8
10171,AT-43,AT-3,,,AT-236,,,AT-250,,,AT-325,,,,AT-251,,,,,,,,,,,,,7
10173,AT-43,AT-3,,,AT-318,,,AT-85,,,AT-325,,,,AT-251,,,,,,,,,,,,,8
10179,AT-227,AT-3,,,AT-317,,,AT-250,,,AT-172,,,,AT-224,AT-251,,,,,,,,,,,,4
10199,AT-15,,AT-3,,,,,AT-250,,,AT-306,,,,AT-251,,,,,,,,,,,,,
10201,AT-56,AT-15,,,,,,AT-250,,,AT-172,,,,AT-251,,,,,,,,,,,,,
10207,AT-15,AT-257,,,,,,AT-250,,,AT-325,,,,AT-224,,,,,,,,,,,,,7
10208,AT-329,AT-257,,,,,,AT-250,,,AT-325,,,,AT-287,,50,,,,,,,,,,,7
10221,AT-15,AT-43,,,,,,AT-250,,,AT-325,,,,AT-224,,,,,,,,,,,,,5
10223,AT-43,AT-3,,,,,,AT-85,,,AT-306,,,,AT-224,,,,,,,,,,,,,7
10230,AT-329,AT-3,,,,,,AT-250,,,,AT-113,,,AT-224,AT-293,41,1,AT-1,AT-61,,,,,,,,30
10242,AT-15,AT-329,,,AT-317,,AT-297,AT-250,,,AT-172,AT-254,,,AT-224,AT-251,41,1,AT-61,AT-1,,,,,,,,11
10247,AT-15,AT-3,,,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-251,41,1,AT-61,AT-1,,,,,,,,8
10264,AT-94,AT-46,,,AT-318,,,AT-250,,,,AT-99,,,AT-251,,3,50,AT-1,AT-61,,,,,,,,22
10271,AT-3,AT-15,,,AT-235,,,AT-250,,,AT-172,,,,AT-224,,41,1,AT-1,AT-61,,,,,,,,29
10275,AT-329,AT-257,,,AT-318,,,AT-250,,,,AT-99,,,AT-224,,41,1,AT-61,AT-1,,,,,,,,24
10276,AT-3,AT-46,,,AT-318,,AT-297,AT-250,,,AT-306,,,,AT-251,,41,1,,,,,,,,,,18
10279,AT-15,AT-329,,,AT-318,,,AT-250,,,,AT-99,,,AT-251,,41,1,AT-1,AT-61,,,,,,,,20
10325,AT-15,AT-226,,,AT-317,,AT-297,AT-250,,,,AT-99,,,AT-251,,41,1,AT-177,AT-1,,,,,,,,5
10371,AT-305,AT-256,,,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-287,AT-251,46,1,AT-177,AT-61,,,,,,,,15
10384,AT-329,,,,AT-236,,AT-297,AT-250,,,AT-306,AT-114,,,AT-224,AT-251,41,1,AT-177,AT-1,,,,,,,,11
10385,AT-43,AT-329,,,AT-235,,AT-297,AT-250,,,AT-172,AT-254,,,AT-224,AT-293,41,1,AT-1,AT-61,,,,,,,,19
10408,AT-257,AT-15,,,,,AT-297,AT-250,,,,AT-9,,,AT-224,AT-251,41,1,AT-177,AT-61,,,,,,,,12
10419,AT-3,AT-15,,,AT-235,,AT-297,AT-250,,,,AT-9,,,AT-224,AT-293,41,1,AT-1,AT-61,,,,,,,,26
10447,AT-329,AT-21,AT-3,,AT-317,,AT-297,AT-250,,,,AT-9,,,AT-224,AT-251,41,2,AT-1,AT-61,AT-177,,,,,,,13
12161,AT-256,AT-257,AT-15,,,,AT-297,AT-250,,,AT-213,AT-99,,,AT-224,,50,2,,,,,AT-131,,,,,15
12176,AT-256,AT-3,,,,,,AT-250,,,AT-325,AT-254,,,AT-224,AT-293,,,,,,,,,,,,12
13049,AT-94,AT-3,,,AT-317,,AT-297,AT-250,,,AT-325,AT-254,,,AT-224,AT-293,43,1,AT-1,AT-61,,,,,,,,14
13055,AT-43,AT-257,AT-329,AT-258,AT-318,,AT-297,AT-250,,,AT-325,AT-254,,,AT-224,AT-251,50,6,AT-61,AT-1,AT-177,,,,,,,15
13057,AT-257,AT-56,AT-329,AT-258,,,AT-297,AT-250,,,AT-172,AT-9,,,AT-287,AT-251,50,6,AT-61,AT-1,AT-177,,,,,,,25
13060,AT-21,AT-56,AT-329,AT-258,AT-317,,AT-297,AT-250,,,AT-326,AT-9,,,AT-224,AT-251,50,6,AT-61,AT-1,AT-177,,,,,,,17
13064,AT-15,AT-257,AT-258,AT-43,AT-317,,AT-297,AT-250,,AT-11,,AT-254,,,AT-224,AT-251,40,2,AT-1,AT-61,AT-188,,,,,,,18
13082,AT-15,AT-46,AT-256,,AT-318,,,AT-250,,,,,,,AT-251,,,,AT-177,AT-61,,,,,,,,17
13085,AT-46,AT-6,AT-329,AT-21,AT-318,,AT-71,AT-250,,,AT-325,AT-254,,,AT-287,AT-251,46,6,AT-177,AT-61,AT-245,,,,,,,19
13098,AT-15,AT-3,AT-329,,AT-235,,AT-297,AT-250,,,AT-325,AT-254,,,AT-224,AT-251,50,1,AT-1,AT-61,,,,,,,,17
13100,AT-3,AT-329,AT-256,,,,AT-297,AT-250,,,AT-325,AT-9,,,AT-287,AT-251,50,6,AT-177,AT-61,AT-1,,,,,,,20
13110,AT-15,AT-257,AT-3,,AT-317,,AT-297,AT-250,AT-115,,,AT-254,,,AT-224,AT-224,40,2,AT-1,AT-61,AT-188,,,,,,,18
13114,AT-257,AT-94,,,AT-318,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-251,41,2,AT-1,AT-61,,,,,,,,13
13116,AT-94,AT-257,AT-3,,AT-318,,AT-297,AT-250,,,AT-306,AT-9,,,AT-224,AT-251,50,6,AT-177,AT-61,AT-1,,,,,,,13
13155,AT-15,AT-3,AT-257,,AT-317,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-251,40,2,AT-1,AT-61,,,,,,,,18
13158,AT-43,AT-257,AT-3,,AT-318,,AT-297,AT-250,,,,AT-9,,,AT-224,AT-293,50,6,AT-177,AT-61,AT-1,,,,,,,27
13161,AT-3,AT-43,AT-15,,,,AT-297,AT-250,,,AT-172,AT-9,,,AT-224,AT-293,50,6,AT-177,AT-1,AT-61,,,,,,,12
13175,AT-21,AT-15,AT-3,AT-43,AT-317,,AT-297,AT-250,,AT-11,,AT-254,,,AT-224,AT-251,40,2,AT-1,AT-61,AT-327,,,,,,,18
13178,AT-15,AT-329,,,AT-236,,AT-297,AT-250,,,,AT-254,,,AT-224,AT-251,41,2,AT-1,AT-61,,,,,,,,15
13181,AT-15,AT-257,,,AT-317,,,,,,AT-172,AT-254,,,AT-224,AT-293,,,AT-177,AT-1,,,,,,,,
13209,AT-21,AT-329,AT-3,AT-43,AT-317,,AT-297,AT-250,,,AT-172,AT-114,,AT-186,AT-224,AT-251,43,1,AT-1,AT-61,AT-188,,,,,,,16
13241,AT-329,AT-3,AT-56,,AT-317,,,AT-85,,,AT-172,,,,AT-224,AT-293,,,AT-1,AT-177,,,,,,,,2
13245,AT-15,AT-94,,,AT-318,,,AT-250,,,AT-172,,,,AT-251,,,,,,,,,,,,,6
13249,AT-15,AT-3,AT-94,,AT-317,,AT-297,AT-250,,,,AT-114,,,AT-224,AT-251,41,1,AT-177,AT-1,AT-246,,,,,,,12
13257,AT-329,AT-15,AT-3,,AT-317,,AT-297,AT-250,,,,,,,AT-224,AT-251,41,2,AT-177,AT-1,,,,,,,,28
13308,AT-94,AT-46,AT-329,,AT-317,AT-236,,AT-85,,,AT-172,,,,AT-251,,50,2,,,,,,,,,,18
13376,AT-15,AT-3,,,AT-317,AT-318,,AT-85,,,,,,,AT-251,,50,2,,,,,,,,,,7
13432,AT-3,AT-15,AT-94,,AT-317,AT-318,,AT-250,,,AT-325,,,,AT-224,,41,1,,,,,,,,,,15
13452,AT-3,AT-56,,,AT-318,,,AT-250,,,AT-325,,,,AT-224,,,,,,,,,,,,,8
13483,AT-329,AT-94,,,,,,AT-212,,,,,,,AT-293,,41,1,AT-1,,,,,,,,,8
13488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13510,AT-43,AT-3,AT-329,,,,AT-189,AT-250,,,,AT-75,,,AT-224,AT-251,41,1,AT-61,,,,,,,,,28
